Experiment,CV Macro F1,CV Micro F1,CV mAP,Best Epoch,Best Threshold,Test Macro F1,Test Micro F1,Test Precision,Test Recall,Test mAP
Plain + GAP,0.3031 +/- 0.0227,0.3079 +/- 0.0279,0.2934 +/- 0.0305,93,0.6,0.2516,0.2508,0.2039,0.4272,0.2958
Residual + GAP,0.3108 +/- 0.0121,0.3088 +/- 0.0147,0.2988 +/- 0.0125,67,0.55,0.2353,0.2315,0.2392,0.4162,0.2964
Plain + GMP,0.2995 +/- 0.0267,0.3129 +/- 0.0369,0.2849 +/- 0.0276,94,0.6,0.2818,0.3004,0.2237,0.4445,0.3148
