Experiment,cv_macro_mean,cv_macro_std,cv_micro_mean,cv_micro_std,cv_map_mean,cv_map_std,best_epoch,best_threshold,test_macro_f1,test_micro_f1,test_precision,test_recall,test_class_f1,test_mAP,model_path
Plain + GAP,0.30313645242106757,0.022735050226602833,0.30794185981884614,0.027866462251241758,0.29342549872524837,0.030456366094363117,93,0.5999999999999999,0.25159687577047296,0.2508361204013378,0.2039058418802252,0.4272456709956709,"[0.5454545454545454, 0.32653061224489793, 0.4, 0.2222222222222222, 0.3, 0.1694915254237288, 0.391304347826087, 0.2222222222222222, 0.25, 0.3333333333333333, 0.0, 0.2857142857142857, 0.21739130434782608, 0.2222222222222222, 0.17142857142857143, 0.07142857142857142, 0.24, 0.16]",0.2958326116633225,C:\Users\KangjieLU\Pokemon_Project\model\plain_gap.pth
Residual + GAP,0.310757334536896,0.0121012598955736,0.3088394063003093,0.01466756577536424,0.2987965702111026,0.012521820499194574,67,0.5499999999999999,0.23528921146064993,0.23154362416107382,0.23922902098946863,0.41623276414943083,"[0.5384615384615384, 0.3, 0.15384615384615385, 0.18181818181818182, 0.1875, 0.0, 0.4375, 0.16666666666666666, 0.24242424242424243, 0.3, 0.15384615384615385, 0.2608695652173913, 0.25, 0.2857142857142857, 0.3333333333333333, 0.15789473684210525, 0.19230769230769232, 0.09302325581395349]",0.29638075611016773,C:\Users\KangjieLU\Pokemon_Project\model\residual_gap.pth
Plain + GMP,0.2994518281446776,0.026697855345326035,0.3128944859286579,0.036915227203799195,0.2848939660489586,0.02764365784864381,94,0.5999999999999999,0.281826820167119,0.30039525691699603,0.22373116614153987,0.4445486612153279,"[0.45161290322580644, 0.3684210526315789, 0.5925925925925926, 0.0, 0.2926829268292683, 0.4, 0.5, 0.24, 0.3125, 0.2962962962962963, 0.0, 0.2962962962962963, 0.3448275862068966, 0.3225806451612903, 0.17391304347826086, 0.13333333333333333, 0.17391304347826086, 0.17391304347826086]",0.3148241965970039,C:\Users\KangjieLU\Pokemon_Project\model\plain_gmp.pth
