experiment,fold,epoch,train_loss,val_loss,macro_f1,micro_f1,mAP,threshold
Plain + GAP,1,40,1.0644776150177084,1.2522503776826721,0.20754841419808637,0.18327605956471935,0.25848398421625085,0.35
Plain + GAP,1,41,1.0681723892580182,1.1826263959857002,0.25488983634498097,0.23897058823529413,0.2784663043752844,0.49999999999999994
Plain + GAP,1,42,1.0630319268325639,1.1961428618085557,0.2489191608648057,0.286231884057971,0.2606339793013486,0.5999999999999999
Plain + GAP,1,43,1.0709805169392153,1.1997310216876045,0.26157991088360416,0.26332288401253917,0.27680856297122935,0.5999999999999999
Plain + GAP,1,44,1.0398849459510902,1.177137799884962,0.24959330084178488,0.2782608695652174,0.25702218012315026,0.5499999999999999
Plain + GAP,1,45,1.047680422473692,1.1697896598041921,0.27146358217133537,0.2653061224489796,0.275657083006492,0.5499999999999999
Plain + GAP,1,46,1.0340185825507715,1.1707809627919956,0.259043951946474,0.2830188679245283,0.2824134199975014,0.5999999999999999
Plain + GAP,1,47,1.03531187327616,1.4032675511595132,0.22531320820612674,0.1853233830845771,0.2706775323132848,0.35
Plain + GAP,1,48,1.047157433732177,1.1923706842505413,0.2612796630261634,0.2796005706134094,0.2780037310043091,0.5499999999999999
Plain + GAP,1,49,1.046697010868017,1.191842792690664,0.25763167084906224,0.24554826616682288,0.288342698403288,0.49999999999999994
Plain + GAP,1,50,1.036636430166241,1.1859615522882212,0.25553576664750494,0.2590120160213618,0.26891037932882367,0.5499999999999999
Plain + GAP,1,51,1.0214003118226653,1.1722114639005798,0.2804355908218953,0.28607918263090676,0.29081278929070853,0.5499999999999999
Plain + GAP,1,52,1.016999803388488,1.1929332311602607,0.263612019652689,0.26,0.2761418896449412,0.5499999999999999
Plain + GAP,1,53,1.0211791846704397,1.1633422374725342,0.2763685566568264,0.28372739916550765,0.2882122380212055,0.5499999999999999
Plain + GAP,1,54,1.0110806706607451,1.1649183656858362,0.27332601187022826,0.26881720430107525,0.27885531490409116,0.5499999999999999
Plain + GAP,1,55,1.0177192622846594,1.233073191366334,0.22395148562105385,0.19505851755526657,0.2718043892664206,0.39999999999999997
Plain + GAP,1,56,1.0296727538325965,1.1512883659722148,0.28278582365966315,0.30335097001763667,0.27049475367048564,0.5999999999999999
Plain + GAP,1,57,1.0133507247396722,1.199929510337719,0.26790872139623245,0.2910958904109589,0.27970378633913523,0.5999999999999999
Plain + GAP,1,58,1.0182086687487548,1.229818078054898,0.24426494229753098,0.2231012658227848,0.27514673519721766,0.39999999999999997
Plain + GAP,1,59,1.0094350811996529,1.177236607109291,0.2795639156749256,0.28183361629881154,0.3002290977118862,0.5999999999999999
Plain + GAP,1,60,1.0100874208144586,1.1831377969271895,0.26965216746629966,0.28321678321678323,0.28286265141054356,0.5999999999999999
Plain + GAP,1,61,1.0341524927993941,1.1796285622361777,0.27048446564821016,0.30018083182640143,0.30211473429289853,0.5999999999999999
Plain + GAP,1,62,1.008164011498401,1.2517789118531821,0.2761612755140159,0.2968036529680365,0.2921557859627641,0.7
