Experiment,cv_macro_mean,cv_macro_std,cv_micro_mean,cv_micro_std,cv_map_mean,cv_map_std,best_epoch,best_threshold,test_macro_f1,test_micro_f1,test_precision,test_recall,test_class_f1,test_mAP,model_path
Plain + GAP,0.31603392453446355,0.01437525079580256,0.31890203740245593,0.021553603731087632,0.30690218755611526,0.02870612733411887,141,0.5999999999999999,0.2844949648927617,0.2809917355371901,0.2517563712008156,0.39032086740420074,"[0.56, 0.45454545454545453, 0.6153846153846154, 0.2631578947368421, 0.21428571428571427, 0.25, 0.35714285714285715, 0.1111111111111111, 0.30303030303030304, 0.2222222222222222, 0.18604651162790697, 0.21428571428571427, 0.30303030303030304, 0.16666666666666666, 0.3333333333333333, 0.16666666666666666, 0.2222222222222222, 0.17777777777777778]",0.2790155758078521,C:\Users\KangjieLU\Pokemon_Project\model\plain_gap.pth
Residual + GAP,0.33359593668019744,0.015389969806435734,0.3327593627867869,0.030850092712454456,0.3201696301657204,0.02885616246460493,143,0.5999999999999999,0.18598713678854983,0.21956087824351297,0.21152263741549457,0.3108415504248837,"[0.56, 0.4, 0.2857142857142857, 0.11764705882352941, 0.25, 0.13333333333333333, 0.36585365853658536, 0.0, 0.0, 0.11320754716981132, 0.0, 0.18867924528301888, 0.0, 0.3, 0.13333333333333333, 0.1111111111111111, 0.16666666666666666, 0.2222222222222222]",0.2502651030957319,C:\Users\KangjieLU\Pokemon_Project\model\residual_gap.pth
Plain + GMP,0.3068608825108495,0.02585971230118974,0.3157510973770485,0.034150643693947054,0.29923916301431674,0.031687594033615825,136,0.5999999999999999,0.2758539923986776,0.2755102040816326,0.21705276007674879,0.4548861632194966,"[0.6086956521739131, 0.4, 0.6206896551724138, 0.2631578947368421, 0.3333333333333333, 0.32, 0.42105263157894735, 0.23529411764705882, 0.24242424242424243, 0.21621621621621623, 0.0, 0.24390243902439024, 0.2222222222222222, 0.21052631578947367, 0.16, 0.125, 0.2, 0.14285714285714285]",0.28378666017962567,C:\Users\KangjieLU\Pokemon_Project\model\plain_gmp.pth
